Habitat,Frequency,0m,1m,2m,5m,10m
OF1,0.35,14.6,13.4,12.4,-0.2,-2.9
OF1,0.4,21.8,18.9,10.5,-1.8,0.7
OF1,0.5,25.3,25.6,13.4,-0.7,2.2
OF1,0.6,28.6,22.4,11.6,0.8,2.3
OF1,0.8,38.4,16.2,9.7,0.6,4.6
OF1,1,41.8,26.4,5.4,3.1,3.5
OF1,1.25,35.4,16.4,5.1,0.6,1.6
OF1,1.5,35,22.8,7.6,0.4,4.9
OF1,1.75,30.4,13.5,9,5.3,3.1
OF1,2,26.1,20.8,4.4,2.5,3.3
OF1,2.25,22.9,19.1,1.9,2,6.1
OF1,2.5,22.1,17,2.8,5.9,2.5
OF1,2.75,23.5,17.4,4.6,2.8,3.7
OF1,3,24.9,17.9,5.9,1.5,3.8
OF1,3.5,24.4,16.8,4,5.8,5.7
OF1,4,27.3,12.4,5.2,2.1,2.4
OF1,4.5,27.1,19.4,4.1,4.5,6
OF1,5,30.7,21.4,4.8,8,8.4
OF1,6,34.2,21.2,9.7,9.9,10.8
OF1,7,33.5,23,7.3,6.7,9
OF1,8,36.4,28.8,21.6,11.4,11.3
OF1,9,32.6,29.6,9.7,10.8,13.6
OF1,10,37.3,32.6,17.7,13.5,14.4
OF1,11,33,31.4,19.2,17,17.8
OF2,0.35,15.8,16.6,16.3,0.4,3.8
OF2,0.4,20.3,24.9,10.8,-1.7,10.5
OF2,0.5,28,31.4,10.7,-3.5,-1.2
OF2,0.6,35.5,27.7,7.6,-3.4,2.1
OF2,0.8,37.6,25.6,6.3,4.8,-1.6
OF2,1,36.4,19.4,1.5,-1.1,-1.8
OF2,1.25,36.9,1.6,3.1,-1.5,3.2
OF2,1.5,31.2,17.6,0.5,6.7,0.2
OF2,1.75,25.7,3.3,1.3,0.4,2.2
OF2,2,27.2,5.7,1.2,4.1,0.3
OF2,2.25,28.8,6.2,-1.4,5.6,2.7
OF2,2.5,27.1,6.2,-0.2,0.1,2.3
OF2,2.75,31.8,9.5,-0.9,4.1,4.2
OF2,3,31.9,16.1,-1.7,2.5,2.3
OF2,3.5,29.1,14.8,5.3,7.2,5.4
OF2,4,27,1.7,-0.3,-1.4,0.5
OF2,4.5,20.9,9.5,3.2,4.7,4.9
OF2,5,28,15.5,4,5.3,4.1
OF2,6,36,15.2,8.9,7.3,7.5
OF2,7,30.1,15.7,4.9,6.3,5.7
OF2,8,39.4,26.7,17.8,11.6,13.4
OF2,9,39.6,28.5,19.6,13.4,14.1
OF2,10,44.4,30,10.6,13.8,13.4
OF2,11,40.4,28.6,13.8,16.9,16.6
CF1,0.35,19.6,12.9,11.7,-3.4,0.1
CF1,0.4,25.6,25.8,16,-6.6,1.6
CF1,0.5,21.9,16.2,14.4,2.1,2.2
CF1,0.6,17.6,22,21.5,-2.1,-2.8
CF1,0.8,13.1,5.3,0.3,14.8,10.7
CF1,1,21.4,10.5,4.8,3.9,2.7
CF1,1.25,16.9,4.6,3.6,8.7,-3.7
CF1,1.5,11.4,8.9,10.3,-0.1,-1.1
CF1,1.75,12.1,17,9.3,2.4,-0.29
CF1,2,20.9,11.8,7.1,5.5,6.6
CF1,2.25,16.6,8.9,8.1,3.9,-0.9
CF1,2.5,22.2,16.4,6.9,8.5,2
CF1,2.75,13,16.6,4.4,7.8,5.9
CF1,3,20.5,14.8,7.5,8.5,2.5
CF1,3.5,20.5,16.9,14.6,21.5,10.8
CF1,4,19.1,13.8,11.2,7,5
CF1,4.5,16.1,17.1,12.7,3.7,4.9
CF1,5,25.5,14.4,14.1,10.6,5.9
CF1,6,28.1,15.6,23.8,21.9,18.1
CF1,7,26.9,8.1,17.3,9.9,9.7
CF1,8,35.2,16.4,26.5,11.1,13
CF1,9,32.3,23.3,30.2,13.6,21.7
CF1,10,32.7,25.5,28.1,16.7,15.2
CF1,11,33.3,24.2,26.2,19.2,20.5
DFL1,0.35,,,,,
DFL1,0.4,18,18,2,1,3.1
DFL1,0.5,25,15,8,-2,0.4
DFL1,0.6,,,,,
DFL1,0.8,15,13,0,-2,-3.8
DFL1,1,14,12,13,-1.8,6.7
DFL1,1.25,11,6,-1,3.8,12.4
DFL1,1.5,14,5,-2,1.3,5.1
DFL1,1.75,14,8,-1,8.5,6.1
DFL1,2,12,13,-3,1.1,1
DFL1,2.25,13,10,-1,5.6,2.3
DFL1,2.5,12,12,-2,3.9,7.4
DFL1,2.75,12,10,-1,10.3,5.4
DFL1,3,15,10,3,-1.5,16.8
DFL1,3.5,17,9,-3,1.6,7.2
DFL1,4,15,8,5,-1.7,6.5
DFL1,4.5,16,14,9,1.5,9.3
DFL1,5,13,18,8,2.3,18.7
DFL1,6,27,16,9,8.7,11
DFL1,7,36,26,18,17.7,15.6
DFL1,8,36,22,18,19.8,26.7
DFL1,9,38,20,16,18,25.8
DFL1,10,39,24,27,26.3,27.1
DFL1,11,38,31,34,28.6,28.4
DFL2,0.35,,,,,
DFL2,0.4,17.6,20.9,11.6,3.2,4.8
DFL2,0.5,23.4,20.8,7.7,7.7,2.8
DFL2,0.6,,,,,
DFL2,0.8,22.6,17.2,13.2,0.4,6.5
DFL2,1,18.4,16.1,9,10,2.6
DFL2,1.25,17.2,13.8,14.6,12.7,8.6
DFL2,1.5,17.7,16.4,12.1,7,7.4
DFL2,1.75,17.6,13.1,16.5,8.4,9
DFL2,2,20.2,16.9,9.6,9.3,8.7
DFL2,2.25,18.2,16.7,9.6,14.9,11.1
DFL2,2.5,18,17.3,17.1,10,12.7
DFL2,2.75,17.5,17.9,11.9,9.9,13.1
DFL2,3,12.8,17.5,14.4,12.4,7.6
DFL2,3.5,15.9,16.8,12.1,9.9,15.2
DFL2,4,17.5,17.6,16.9,10.4,14.6
DFL2,4.5,19.5,20.5,17.7,17.5,17.9
DFL2,5,19.5,23.4,13.4,18.5,19.6
DFL2,6,23.9,21.2,12.7,24.3,27.3
DFL2,7,26.8,25.7,24.9,27.6,30.5
DFL2,8,29.7,29.3,26.4,33.6,34.2
DFL2,9,30,30.1,32.2,36.8,37.6
DFL2,10,36.5,35.3,34.8,41,36.7
DFL2,11,36.6,36.8,34,38.3,34.7
DFL3,0.35,,,,,
DFL3,0.4,,,4,-3,1.5
DFL3,0.5,,15.2,1.7,-0.4,-4.7
DFL3,0.6,,,,,
DFL3,0.8,29.3,2.4,1.9,0.7,2.3
DFL3,1,23.1,4.7,11.1,2.3,0.1
DFL3,1.25,14.4,12.8,2.3,5.6,1.4
DFL3,1.5,16.7,4.1,-3.3,5.9,5.4
DFL3,1.75,18.7,11.9,3.1,5,10.7
DFL3,2,15.7,6.6,-2.8,0,7.1
DFL3,2.25,15.3,9.8,1.5,9.7,12.2
DFL3,2.5,19.9,9.2,2.5,6.8,8.9
DFL3,2.75,20.5,5.8,0,9.7,6
DFL3,3,22.6,11.4,5.9,3.3,5.8
DFL3,3.5,21.3,12.4,7.5,9.3,8.4
DFL3,4,18.7,14.9,14.2,7.6,8.4
DFL3,4.5,25.6,16,16.1,11.4,9.4
DFL3,5,26.9,14.6,18.7,14,18.2
DFL3,6,29.8,16.4,20.7,16.4,16
DFL3,7,33.9,24.4,24,22.3,22.8
DFL3,8,36.1,27.4,28.8,24.6,24.2
DFL3,9,37.8,32.5,33.6,26.6,28.2
DFL3,10,37.1,34.9,32.1,30.8,33.2
DFL3,11,37.7,36.5,34.5,30.2,34.6
DFL4,0.35,,,,,
DFL4,0.4,13.3,17,-4.2,-8.8,4.9
DFL4,0.5,18.5,13,-3.1,-3.7,-0.6
DFL4,0.6,,,,,
DFL4,0.8,19.4,0.1,-2,3.8,0.3
DFL4,1,18,7.5,6,-5.7,-1.1
DFL4,1.25,18.3,-4.9,6.4,1.2,1.5
DFL4,1.5,10.7,9.7,8.4,-0.2,3.4
