plot,frequency,height,landuse,value,landscape,Time,species,transmission,ambient.noise,excess_attenuation,extinction,extinction_species,area_ha,tree_density,basal_area_m2_ha,tree_height_m,crown_base_height_m,understory_density,understory_height_m,pred_species,rel_pred_species
BF1,0.05,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.497075614,53.90475467,NA,2.968666669,NA,0.14581842,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.05,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.497075614,59.34765208,NA,2.32967079,NA,0.038126543,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.05,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.564381173,53.90475467,NA,3.206193514,NA,0.22478285,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.05,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.564381173,59.34765208,NA,2.52235292,NA,0.054326731,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.05,5,Forest,extrapolated,Bukit 12,sunrise,NA,-7.148586993,53.90475467,NA,4.182678895,NA,2.010796393,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.05,5,Forest,extrapolated,Bukit 12,sunset,NA,-7.148586993,59.34765208,NA,3.26292269,NA,0.290517298,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.1,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.497075614,52.71067868,NA,3.110081039,NA,0.196243607,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.1,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.497075614,59.04575492,NA,2.36486371,NA,0.041047019,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.1,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.564381173,52.71067868,NA,3.357184213,NA,0.307698281,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.1,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.564381173,59.04575492,NA,2.560088112,NA,0.058748183,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.1,5,Forest,extrapolated,Bukit 12,sunrise,NA,-7.148586993,52.71067868,NA,4.386840844,NA,3.081557115,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.1,5,Forest,extrapolated,Bukit 12,sunset,NA,-7.148586993,59.04575492,NA,3.313426543,NA,0.323223424,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.17,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.497075614,49.19006392,NA,3.529444155,NA,0.473243933,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.17,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.497075614,58.62314032,NA,2.414179519,NA,0.045520695,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.17,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.564381173,49.19006392,NA,3.804297204,NA,0.779925106,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.17,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.564381173,58.62314032,NA,2.6129514,NA,0.065555794,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.17,5,Forest,extrapolated,Bukit 12,sunrise,NA,-7.148586993,49.19006392,NA,4.993052077,NA,10.88622065,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.17,5,Forest,extrapolated,Bukit 12,sunset,NA,-7.148586993,58.62314032,NA,3.384232641,NA,0.375338957,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.25,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-9.497075614,46.38569403,NA,3.865943309,NA,0.958110554,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.25,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-9.497075614,58.14021126,NA,2.470605298,NA,0.051241991,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.25,2,Forest,extrapolated,Bukit 12,sunrise,NA,-8.564381173,46.38569403,NA,4.162432699,NA,1.642738391,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.25,2,Forest,extrapolated,Bukit 12,sunset,NA,-8.564381173,58.14021126,NA,2.673414914,NA,0.074317479,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,0.25,5,Forest,extrapolated,Bukit 12,sunrise,NA,-7.148586993,46.38569403,NA,5.47995403,NA,29.8277638,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
